"id,fullName"
"3648040,Tanner Kero"
"3648041,Joel L'Esperance"
"3648080,Kyle Criscuolo"
"3652598,Alex Iafallo"
"3652602,Karson Kuhlman"
"3652623,Kasimir Kaskisuo"
"3652964,Noah Hanifin"
"3654006,Alex Lyon"
"3654032,Patrick Russell"
"3891922,Erik Gustafsson"
"3891952,Artemi Panarin"
"3895074,Connor McDavid"
"3895921,Andreas Martinsen"
"3899730,Dean Kukan"
"3899933,Dylan Strome"
"3899937,Mitchell Marner"
"3899938,Mikko Rantanen"
"3899939,Ivan Provorov"
"3899946,Mathew Barzal"
"3899949,Pavel Zacha"
"3899951,Lawson Crouse"
"3899952,Kyle Connor"
"3899972,Zach Werenski"
"3899978,Timo Meier"
"3899979,Brock Boeser"
"3899980,Nick Merkley"
"3900147,Denis Gurianov"
"3900154,Jansen Harkins"
"3900157,Gabriel Carlsson"
"3900162,Jakub Zboril"
"3900169,Travis Konecny"
"3900219,Thomas Chabot"
"3900240,Jake DeBrusk"
"3900247,Oliver Kylington"
"3900256,Jacob Larsson"
"3900259,Colin White"
"3900260,Jordan Greenway"
"3900502,Nicolas Meloche"
"3900504,Noah Juulsen"
"3900505,Ilya Samsonov"
"3902133,Derek Ryan"
"3904073,Zach Senyshyn"
"3904090,Evgeny Svechnikov"
"3904091,Joel Eriksson Ek"
"3904098,Jack Roslovic"
"3904107,Anthony Beauvillier"
"3904170,Christian Fischer"
"3904171,Mitchell Stephens"
"3904172,Travis Dermott"
"3904173,Sebastian Aho"
"3904175,Brandon Carlo"
"3904177,Mackenzie Blackwood"
"3904178,Erik Cernak"
"3904181,Daniel Sprong"
"3904182,Filip  Chlapik"
"3904183,Roope Hintz"
"3904184,Brendan Guhle"
"3904185,Jeremy Lauzon"
"3904186,Rasmus Andersson"
"3904188,Yakov Trenin"
"3904189,Vince Dunn"
"3904190,Jonas Siegenthaler"
"3904191,Kevin Stenlund"
"3913226,Dominik Simon"
"3938809,Dmytro Timashov"
"3939658,Steven Lorentz"
"3939714,Adin Hill"
"3939716,Kyle Capobianco"
"3939718,Conor Garland"
"3939856,Bokondji Imama"
"3941125,Colton White"
"3941140,Philippe Myers"
"3941546,Keegan Kolesar"
"3941946,Will Borgen"
"3941965,Mathieu Joseph"
"3941966,Ethan Bear"
"3941970,Caleb Jones"
"3941973,Anthony Cirelli"
"3941974,John Marino"
"3942030,Dennis Gilbert"
"3942043,Mason Appleton"
"3942047,Sami Niku"
"3942058,Anthony Richard"
"3942061,Tommy Novak"
"3942064,Alexandre Carrier"
"3942065,Karel Vejmelka"
"3942073,Joey Daccord"
"3942086,Christian Jaros"
"3942094,Chase Pearson"
"3942106,Christian Wolanin"
"3942205,Michael McNiven"
"3942258,Lukas Vejdemo"
"3942292,Vladislav Gavrikov"
"3942293,Markus Nutivaara"
"3942294,Kole Sherwood"
"3942335,Kirill Kaprizov"
"3942352,Glenn Gawdin"
"3942354,Niko Mikkola"
"3942459,Dan Vladar"
"3942461,Cameron Hughes"
"3942548,Ryan Lomberg"
"3942569,Andrei Mironov"
"3942638,Parker Wotherspoon"
"3942676,Cole Bardreau"
"3942680,Cooper Marody"
"3942714,Sam Montembeault"
"3942715,Denis Malgin"
"3942745,Blake Speers"
"3942746,Brett Seney"
"3942747,Kenneth Appleby"
"3942809,Dominic Toninato"
"3942866,Guillaume Brisebois"
"3942868,Adam Gaudette"
"3942905,Troy Terry"
"3942922,Austin Wagner"
"3942924,Matt Roy"
"3942992,Rudolfs Balcers"
"3943026,Erik Kallgren"
"3943996,Nicolas Roy"
"3965273,Greg McKegg"
"3975833,Andrew Poturalski"
"3976747,Nick Lappin"
"3988384,Chase Priskie"
"3988528,C.J. Smith"
"3988536,Kevin  Boyle"
"3988747,Jon Lizotte"
"3988750,Jimmy Schuldt"
"3988761,Rhett Gardner"
"3988772,Casey Fitzgerald"
"3988778,Dylan Gambrell"
"3988782,Logan O'Connor"
"3988803,Charlie McAvoy"
"3988816,Jordan Gross"
"3988830,Zach Aston-Reese"
"3988847,Neal Pionk"
"4010739,Nikita Zaitsev"
"4018583,Yohann Auvitu"
"4024123,Auston Matthews"
"4024820,Patrik Laine"
"4024833,Pierre-Luc Dubois"
"4024839,Jesse Puljujarvi"
"4024854,Matthew Tkachuk"
"4024857,Clayton Keller"
"4024868,Mikhail Sergachev"
"4024879,Tyson Jost"
"4024886,Logan Brown"
"4024902,Michael McLeod"
"4024916,Jake Bean"
"4024933,Luke Kunin"
"4024950,Jakob Chychrun"
"4024959,Dante Fabbro"
"4024968,Logan Stanley"
"4024971,Kieffer Bellows"
"4024972,Dennis Cholowski"
"4024975,Julien Gauthier"
"4024977,Henrik Borgstrom"
"4024980,Max Jones"
"4024985,Riley Tufte"
"4024988,Tage Thompson"
"4024989,Brett Howden"
"4024994,Lucas Johansen"
"4024997,Trent Frederic"
"4024998,Sam Steel"
"4027020,Rasmus Asplund"
"4031645,Michael Carcone"
"4046937,Vadim Shipachyov"
"4046946,Michal Kempny"
"4062223,Vitaly  Abramov"
"4062234,Matt Luff"
"4062251,Jordan Kyrou"
"4062934,Alexandre Fortin"
"4063228,Janne Kuokkanen"
"4063231,Tanner Fritz"
"4063240,Beck Malenstyn"
"4063242,Garrett Pilon"
"4063247,Dylan Wells"
"4063250,Carsen Twarynski"
"4063251,Markus Niemelainen"
"4063253,Connor Bunnaman"
"4063257,Josh  Currie"
"4063258,Tyler Benson"
"4063267,Kale Clague"
"4063268,Dillon Dube"
"4063279,Nathan Bastian"
"4063280,Jacob Moverare"
"4063288,David Rittich"
