playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8481033,40,A. Schmid,G,5/8,0/0,0/0,5/8,0.625,3,0,0,0,3,1200,NJD,WSH,2023-10-25,Wednesday 07:30 PM,2023020099,1,0,0
8477970,41,V. Vanecek,G,10/11,4/5,0/0,14/16,0.875,1,1,0,0,2,2233,NJD,WSH,2023-10-25,Wednesday 07:30 PM,2023020099,0,0,0
8476999,35,L. Ullmark,G,22/26,5/5,1/1,28/32,0.875,4,0,0,0,4,3687,BOS,ANA,2023-10-26,Thursday 07:00 PM,2023020100,1,0,1
8475883,31,F. Andersen,G,23/25,1/1,0/0,24/26,0.923,2,0,0,0,2,3890,CAR,SEA,2023-10-26,Thursday 07:00 PM,2023020101,1,0,4
8473503,47,J. Reimer,G,19/22,5/5,1/1,25/28,0.893,3,0,0,0,3,3530,DET,WPG,2023-10-26,Thursday 07:00 PM,2023020102,1,0,0
8478470,35,S. Montembeault,G,24/25,7/9,2/2,33/36,0.917,1,2,0,0,3,3857,MTL,CBJ,2023-10-26,Thursday 07:00 PM,2023020103,1,0,4
8479394,79,C. Hart,G,25/27,1/1,0/0,26/28,0.929,2,0,0,0,2,3600,PHI,MIN,2023-10-26,Thursday 07:30 PM,2023020104,1,0,4
8477465,35,T. Jarry,G,27/27,4/4,0/0,31/31,1.0,0,0,0,0,0,3600,PIT,COL,2023-10-26,Thursday 07:00 PM,2023020105,1,1,4
8477992,31,J. Johansson,G,20/20,2/2,1/1,23/23,1.0,0,0,0,0,0,3600,TBL,SJS,2023-10-26,Thursday 07:00 PM,2023020106,1,1,4
8478009,30,I. Sorokin,G,29/30,15/16,1/1,45/47,0.957,1,1,0,0,2,3592,NYI,OTT,2023-10-26,Thursday 07:30 PM,2023020107,1,0,4
